isni;wrong_wikipedia;correct_wikipedia;isni_uri;doremus_uri
0000000081465301;http://en.wikipedia.org/wiki/Armand;http://en.wikipedia.org/wiki/Armand-Louis_Couperin;http://isni.org/isni/0000000081465301;http://data.doremus.org/artist/152893b6-e72f-302f-b098-91ee8d1a902f
0000000116422695;http://en.wikipedia.org/wiki/Jean;http://en.wikipedia.org/wiki/Jean-Michel_Damase;http://isni.org/isni/0000000116422695;http://data.doremus.org/artist/c1554354-f5e2-3cff-bc67-99aebfd639ff
0000000109296993;http://en.wikipedia.org/wiki/Pierre;http://en.wikipedia.org/wiki/Pierre-Octave_Ferroud;http://isni.org/isni/0000000109296993;http://data.doremus.org/artist/1cbec6fc-d42b-30b5-bdc6-974f58448ba2
000000011669392X;http://en.wikipedia.org/wiki/Étienne;http://en.wikipedia.org/wiki/Étienne-Joseph_Floquet;http://isni.org/isni/000000011669392X;http://data.doremus.org/artist/7c4fd9ed-7a5d-39c7-ab4a-d55dede2fe4c
0000000117785359;http://en.wikipedia.org/wiki/Lars;http://en.wikipedia.org/wiki/Lars-Erik_Larsson;http://isni.org/isni/0000000117785359;http://data.doremus.org/artist/9003abb1-f722-3891-a40b-e5f8fad9ca92
000000011070267X;http://en.wikipedia.org/wiki/Joseph_Hellmesberger,_Jr.;http://en.wikipedia.org/wiki/Joseph_Hellmesberger,_Jr.;http://isni.org/isni/000000011070267X;http://data.doremus.org/artist/48c609d5-2de6-3e75-bee7-19e536e4f41e
0000000119506130;http://en.wikipedia.org/wiki/Jan_Müller;http://en.wikipedia.org/wiki/Jan_Müller-Wieland;http://isni.org/isni/0000000119506130;http://data.doremus.org/artist/caa50d7a-63a5-3cc1-8350-2a11b336a9cd
000000008185864X;http://en.wikipedia.org/wiki/Marc;http://en.wikipedia.org/wiki/Marc-André_Dalbavie;http://isni.org/isni/000000008185864X;http://data.doremus.org/artist/da55376e-0379-3efe-bae3-bae175a593f5
0000000114555662;http://en.wikipedia.org/wiki/Mark;http://en.wikipedia.org/wiki/Mark-Anthony_Turnage;http://isni.org/isni/0000000114555662;http://data.doremus.org/artist/6be5c3f6-d661-35d5-8b74-029d65729830
0000000045316747;http://en.wikipedia.org/wiki/Amélie;http://en.wikipedia.org/wiki/Amélie-Julie_Candeille;http://isni.org/isni/0000000045316747;http://data.doremus.org/artist/b3e62e6c-a13d-398e-8780-0b7b42cd006b
0000000083781156;http://en.wikipedia.org/wiki/Pierre;http://en.wikipedia.org/wiki/Pierre-Joseph_Candeille;http://isni.org/isni/0000000083781156;http://data.doremus.org/artist/01df551b-a942-3c0e-b363-0d477f91c356
0000000114732673;http://en.wikipedia.org/wiki/Esa;http://en.wikipedia.org/wiki/Esa-Pekka_Salonen;http://isni.org/isni/0000000114732673;http://data.doremus.org/artist/6e0fdbca-c46b-3085-a40b-759bd67e5bf2
0000000109026643;http://en.wikipedia.org/wiki/Jacques;http://en.wikipedia.org/wiki/Jacques-Nicolas_Lemmens;http://isni.org/isni/0000000109026643;http://data.doremus.org/artist/285e8ec7-5ec3-3206-9221-a95df3b95d1a
000000007139735X;http://en.wikipedia.org/wiki/Charles;http://en.wikipedia.org/wiki/Charles-Alexandre_Fessy;http://isni.org/isni/000000007139735X;http://data.doremus.org/artist/1ebeb7c7-d71b-3881-9a1c-6a7cc8c4e339
0000000078334757;http://en.wikipedia.org/wiki/Joël;http://en.wikipedia.org/wiki/Joël-François_Durand;http://isni.org/isni/0000000078334757;http://data.doremus.org/artist/9a648d62-7160-3632-ab62-d33d2f3b3855
0000000055149807;http://en.wikipedia.org/wiki/Nikolay_Kedrov,_Sr.;http://en.wikipedia.org/wiki/Nikolay_Kedrov,_Sr.;http://isni.org/isni/0000000055149807;http://data.doremus.org/artist/902da3f3-8714-3619-8586-42406cfd052b
0000000114968483;http://en.wikipedia.org/wiki/Robert_Simpson_(UK_politician);http://en.wikipedia.org/wiki/Robert_Simpson_(composer);http://isni.org/isni/0000000114968483;http://data.doremus.org/artist/b98e73ce-6a39-3f2a-980a-c66165165bda
0000000063015841;http://en.wikipedia.org/wiki/Claude;http://en.wikipedia.org/wiki/Claude-Michel_Schönberg;http://isni.org/isni/0000000063015841;http://data.doremus.org/artist/505732e5-c3c0-30a4-bed2-44c52abb7c8a
0000000115113225;http://en.wikipedia.org/wiki/Sven;http://en.wikipedia.org/wiki/Sven-David_Sandström;http://isni.org/isni/0000000115113225;http://data.doremus.org/artist/c540d899-3bdc-393d-b508-19f464f9b507
0000000108785664;http://en.wikipedia.org/wiki/Paul_I,_Prince_Esterházy;http://en.wikipedia.org/wiki/Paul_I,_Prince_Esterházy;http://isni.org/isni/0000000108785664;http://data.doremus.org/artist/14494309-66c8-3f85-99ce-c68e3d2d5f0a
0000000030478129;http://en.wikipedia.org/wiki/Jean;http://en.wikipedia.org/wiki/Jean-Claude_Amiot;http://isni.org/isni/0000000030478129;http://data.doremus.org/artist/00d0b268-9a76-3f5c-91d1-20706baf3226
0000000120301765;http://en.wikipedia.org/wiki/François;http://en.wikipedia.org/wiki/François-Bernard_Mâche;http://isni.org/isni/0000000120301765;http://data.doremus.org/artist/d680280e-6dc6-369a-b48e-c26b989fe8f8
0000000116289564;http://en.wikipedia.org/wiki/Easley_Blackwood,_Jr.;http://en.wikipedia.org/wiki/Easley_Blackwood,_Jr.;http://isni.org/isni/0000000116289564;http://data.doremus.org/artist/02af27b5-a65d-3ca0-a88d-6341e2941ca1
0000000117479597;http://en.wikipedia.org/wiki/Antoine;http://en.wikipedia.org/wiki/Antoine-Laurent_Baudron;http://isni.org/isni/0000000117479597;http://data.doremus.org/artist/c2e1eb7c-e9fc-3eb2-8cad-9331450e00d4
0000000115990260;http://en.wikipedia.org/wiki/Charles;http://en.wikipedia.org/wiki/Charles-Louis_Mion;http://isni.org/isni/0000000115990260;http://data.doremus.org/artist/81a07aa4-4481-3da1-82ba-51252965805a
0000000109177230;http://en.wikipedia.org/wiki/Jacques;http://en.wikipedia.org/wiki/Jacques-Martin_Hotteterre;http://isni.org/isni/0000000109177230;http://data.doremus.org/artist/43491fde-cf67-3f20-89f6-63fce04a773b
0000000108921355;http://en.wikipedia.org/wiki/Thomas;http://en.wikipedia.org/wiki/Thomas-Louis_Bourgeois;http://isni.org/isni/0000000108921355;http://data.doremus.org/artist/42d682ca-c1c9-305f-b220-c83af6037160
000000012126904X;http://en.wikipedia.org/wiki/Jean_Boyer_(director);http://en.wikipedia.org/wiki/Lucienne_Boyer;http://isni.org/isni/000000012126904X;http://data.doremus.org/artist/7ad00b03-f66e-3ee4-93ed-0e882aff736b
0000000108853866;http://en.wikipedia.org/wiki/Johann_Vogel_(composer);http://en.wikipedia.org/wiki/Johann_Christoph_Wagenseil;http://isni.org/isni/0000000108853866;http://data.doremus.org/artist/9d05c521-b042-3a29-b830-4581097ece39
000000011873836X;http://en.wikipedia.org/wiki/Joseph_Anton_Steffan;http://en.wikipedia.org/wiki/Josef_Antonín_Plánický;http://isni.org/isni/000000011873836X;http://data.doremus.org/artist/0e526ad3-4d6b-3051-bd8c-9739b3ec1fe2
0000000108310044;http://en.wikipedia.org/wiki/Auguste_Durand;http://en.wikipedia.org/wiki/August_Duranowski;http://isni.org/isni/0000000108310044;http://data.doremus.org/artist/2bd83e0b-2884-35b4-ab96-36aff7f051db
0000000118675311;http://en.wikipedia.org/wiki/Hildegard_of_Bingen;http://en.wikipedia.org/wiki/Hildegarde;http://isni.org/isni/0000000118675311;http://data.doremus.org/artist/74f93e74-c62c-3662-84fb-4d73f3e62d36
000000008145141X;http://en.wikipedia.org/wiki/John_Hilton_the_younger;http://en.wikipedia.org/wiki/John_Hilton_the_elder;http://isni.org/isni/000000008145141X;http://data.doremus.org/artist/ed11e426-66ea-3718-8229-c25da913df13
0000000055193971;http://en.wikipedia.org/wiki/Michael_Gordon_(composer);http://en.wikipedia.org/wiki/Michael_Z._Gordon;http://isni.org/isni/0000000055193971;http://data.doremus.org/artist/8140c7eb-13b5-3018-aea2-d2d4033e2382
0000000084072140;http://en.wikipedia.org/wiki/David_Matthews_(composer);http://en.wikipedia.org/wiki/Dave_Matthews;http://isni.org/isni/0000000084072140;http://data.doremus.org/artist/47e733e7-23de-3427-9701-037eff4920f5
0000000066448933;http://en.wikipedia.org/wiki/Luis_Antonio_Escobar_(composer);http://en.wikipedia.org/wiki/Antonio_Escobar;http://isni.org/isni/0000000066448933;http://data.doremus.org/artist/4b37725e-adbc-36dc-9c6d-e00e08a0cf1d
0000000084127746;http://en.wikipedia.org/wiki/Richard_Barrett_(composer);http://en.wikipedia.org/wiki/Richie_Barrett;http://isni.org/isni/0000000084127746;http://data.doremus.org/artist/75f76bf9-35be-3ad5-a10b-f47d6dd94628
0000000081255961;http://en.wikipedia.org/wiki/George_Benjamin_(composer);http://en.wikipedia.org/wiki/George_Benjamin_Arnold;http://isni.org/isni/0000000081255961;http://data.doremus.org/artist/a60e66b4-b10e-3821-9575-ba7fbcff8ed6
0000000080149008;http://en.wikipedia.org/wiki/John_Hawkins_(Canadian_composer);http://en.wikipedia.org/wiki/John_Hawkins_(author);http://isni.org/isni/0000000080149008;http://data.doremus.org/artist/d14b4ee0-de88-38c3-bfdd-70594aaa573b
0000000121322234;http://en.wikipedia.org/wiki/Alexander_Serov;http://en.wikipedia.org/wiki/Aleksander_Serov;http://isni.org/isni/0000000121322234;http://data.doremus.org/artist/02f0c0ba-09a2-3b85-9de7-f598af5c1fa0
0000000374580389;http://en.wikipedia.org/wiki/Hélène;http://en.wikipedia.org/wiki/Hélène-Louise_Demars;http://isni.org/isni/0000000374580389;http://data.doremus.org/artist/9b6254d9-88c6-32df-b166-8a2175e64df7
0000000121239019;http://en.wikipedia.org/wiki/Giuseppe_Sammartini;http://en.wikipedia.org/wiki/Giovanni_Battista_Sammartini;http://isni.org/isni/0000000121239019;http://data.doremus.org/artist/be35c1a5-4f15-3de7-92fc-47191a4c3774
0000000081543269;http://en.wikipedia.org/wiki/André;http://en.wikipedia.org/wiki/André-Joseph_Exaudet;http://isni.org/isni/0000000081543269;http://data.doremus.org/artist/8d124e11-2ce0-3bf9-9579-c8c7dd1eecb6
0000000119533833;http://en.wikipedia.org/wiki/Hubert_Giraud_(composer);http://en.wikipedia.org/wiki/Hubert_Giraud;http://isni.org/isni/0000000119533833;http://data.doremus.org/artist/6feb0b70-efd0-3ef7-b517-99399909d448
000000011497340X;http://en.wikipedia.org/wiki/Arthur_Berger_(composer);http://en.wikipedia.org/wiki/Arthur_Berger;http://isni.org/isni/000000011497340X;http://data.doremus.org/artist/dc3fc358-7b47-3c5e-a617-ef7bcbb77aa9
0000000083723757;http://en.wikipedia.org/wiki/Francesco_Tristano_Schlimé;http://en.wikipedia.org/wiki/Lennie_Tristano;http://isni.org/isni/0000000083723757;http://data.doremus.org/artist/2cf55d84-e563-3c54-b37b-ff48ed673013
0000000118766627;http://en.wikipedia.org/wiki/Andy_Scott_(saxophonist_and_composer);http://en.wikipedia.org/wiki/Andy_Scott-Lee;http://isni.org/isni/0000000118766627;http://data.doremus.org/artist/9678d188-988c-3e45-b194-429b3d35bff7
0000000114555857;http://en.wikipedia.org/wiki/Jan_Sandström_(composer);http://en.wikipedia.org/wiki/David_Sandström;http://isni.org/isni/0000000114555857;http://data.doremus.org/artist/8711c3c7-ee7f-3e4a-868b-14d1e7bdf561
0000000109694422;http://en.wikipedia.org/wiki/Jeroen_van_Veen_(pianist);http://en.wikipedia.org/wiki/Jeroen_van_Veen_(bassist);http://isni.org/isni/0000000109694422;http://data.doremus.org/artist/d97be976-7c83-30e9-8d70-dbc717013088
0000000114695518;http://en.wikipedia.org/wiki/Bent_Sørensen_(composer);http://en.wikipedia.org/wiki/Allan_Sørensen;http://isni.org/isni/0000000114695518;http://data.doremus.org/artist/3672a2b9-5d89-3742-b730-7ec367a20d1c
0000000123640340;http://en.wikipedia.org/wiki/Nicolò_Corradini;http://en.wikipedia.org/wiki/Nicolò_Corradini_(composer);http://isni.org/isni/0000000123640340;http://data.doremus.org/artist/fd0fda76-6a91-3eaf-8117-9de5b4a16125
0000000110607314;http://en.wikipedia.org/wiki/André_Danican_Philidor_the_elder;http://en.wikipedia.org/wiki/Philidor;http://isni.org/isni/0000000110607314;http://data.doremus.org/artist/2f60da1c-3a63-3b03-b8f3-ad29f5dd2aa6
0000000084636436;http://en.wikipedia.org/wiki/Henry_Butler_(viol_player);http://en.wikipedia.org/wiki/Henry_Butler;http://isni.org/isni/0000000084636436;http://data.doremus.org/artist/facd0522-3a82-3e79-93d3-b64c81722552
000000008106310X;http://en.wikipedia.org/wiki/Andrew_York_(guitarist);http://en.wikipedia.org/wiki/Andrew_Kaslow;http://isni.org/isni/000000008106310X;http://data.doremus.org/artist/0dac8856-6b69-329f-b0c3-2a31c801028b
0000000114557545;http://en.wikipedia.org/wiki/Christopher_Robinson_(musician);http://en.wikipedia.org/wiki/Chris_Robinson_(singer);http://isni.org/isni/0000000114557545;http://data.doremus.org/artist/52be88c8-9a7d-3257-a22d-a2bd7ea31fe1
0000000059537241;http://en.wikipedia.org/wiki/Juan_Navarro_Hispalensis;http://en.wikipedia.org/wiki/Juan_Navarro_Gaditanus;http://isni.org/isni/0000000059537241;http://data.doremus.org/artist/e895b8b5-00d0-3e35-8046-dd449f067412
0000000081154693;http://en.wikipedia.org/wiki/Karlheinz_Essl,_Jr.;http://en.wikipedia.org/wiki/Karlheinz_Zöller;http://isni.org/isni/0000000081154693;http://data.doremus.org/artist/cf1a6343-ff7f-3665-8c49-1dc76e35bfaa
0000000083607481;http://en.wikipedia.org/wiki/George_Strong_(composer);http://en.wikipedia.org/wiki/George_Templeton_Strong;http://isni.org/isni/0000000083607481;http://data.doremus.org/artist/ece39f05-54d2-3bc6-856c-1ef6c884c535
0000000121411392;http://en.wikipedia.org/wiki/Peter_Dickinson_(musician);http://en.wikipedia.org/wiki/Peter_Dickinson;http://isni.org/isni/0000000121411392;http://data.doremus.org/artist/70c9c7f0-e86e-3e7c-b47e-dbe0c521eb1d
0000000108754075;http://en.wikipedia.org/wiki/George_Malcolm_(musician);http://en.wikipedia.org/wiki/George_A._Malcolm;http://isni.org/isni/0000000108754075;http://data.doremus.org/artist/e7ef6097-f1f5-390d-9691-f6e534d9d41c
0000000117452431;http://en.wikipedia.org/wiki/Jean_Bodel;http://en.wikipedia.org/wiki/Eleanor_Bodel;http://isni.org/isni/0000000117452431;http://data.doremus.org/artist/9b893445-833f-32e3-a24d-602c1ebe7b46
0000000079925540;http://en.wikipedia.org/wiki/Juliette_(French_singer);http://en.wikipedia.org/wiki/Juliette_Ashby;http://isni.org/isni/0000000079925540;http://data.doremus.org/artist/6ee7e927-6ed7-3df6-aaee-61d3781ca9e3
0000000109371527;http://en.wikipedia.org/wiki/Norman_Lloyd_(composer);http://en.wikipedia.org/wiki/Norman_Lloyd;http://isni.org/isni/0000000109371527;http://data.doremus.org/artist/9532c544-f4e6-3b8b-8c36-31434759fb5e
0000000084153012;http://en.wikipedia.org/wiki/Ed_Hughes_(composer);http://en.wikipedia.org/wiki/Ed_Hughes;http://isni.org/isni/0000000084153012;http://data.doremus.org/artist/11d4ffc8-fa62-3db4-8bb8-247d30a0980d
0000000114806759;http://en.wikipedia.org/wiki/Paul_Spicer_(musician);http://en.wikipedia.org/wiki/Paul_Spicer;http://isni.org/isni/0000000114806759;http://data.doremus.org/artist/e0135e52-8525-36ef-8a9b-4a3998a8e8e8
0000000063111606;http://en.wikipedia.org/wiki/Ross_Edwards_(composer);http://en.wikipedia.org/wiki/Ross_Edwards;http://isni.org/isni/0000000063111606;http://data.doremus.org/artist/e8f66310-e0d9-387e-b7a0-607274e535cc
0000000116723308;http://en.wikipedia.org/wiki/Michael_Obst_(composer);http://en.wikipedia.org/wiki/Michael_Obst;http://isni.org/isni/0000000116723308;http://data.doremus.org/artist/4fdabffb-1b60-3612-aa45-b7966362afb1
000000011772947X;http://en.wikipedia.org/wiki/Yves_Simon_(singer);http://en.wikipedia.org/wiki/Yves_Simon;http://isni.org/isni/000000011772947X;http://data.doremus.org/artist/c89cb571-7651-3b33-b7b3-aabc542c5ed4
0000000080917652;http://en.wikipedia.org/wiki/Bechara_El_Khoury_(composer);http://en.wikipedia.org/wiki/Bechara_El_Khoury;http://isni.org/isni/0000000080917652;http://data.doremus.org/artist/560c9b11-2474-3a4f-b63e-de1a5689fb8e
0000000084065493;http://en.wikipedia.org/wiki/Peter_Garland_(composer);http://en.wikipedia.org/wiki/Peter_A._Garland;http://isni.org/isni/0000000084065493;http://data.doremus.org/artist/4b9b7dfe-1b16-38ab-b9e8-bf7832bc1de3
0000000110014033;http://en.wikipedia.org/wiki/Robert_Aitken_(composer);http://en.wikipedia.org/wiki/Robert_P._Aitken;http://isni.org/isni/0000000110014033;http://data.doremus.org/artist/ebd94b8d-ab48-3913-9ff5-f873e121e0b6
0000000083943303;http://en.wikipedia.org/wiki/Charles_Dodge_(composer);http://en.wikipedia.org/wiki/Charles_C._Dodge;http://isni.org/isni/0000000083943303;http://data.doremus.org/artist/2288e203-b5ce-35e9-8c2a-f07dc4077d37
0000000055212423;http://en.wikipedia.org/wiki/Robert_Shafer_(conductor);http://en.wikipedia.org/wiki/Robert_R._Shafer;http://isni.org/isni/0000000055212423;http://data.doremus.org/artist/439a2cda-7299-32a7-9737-14c42ee7ec49
0000000110852942;http://en.wikipedia.org/wiki/Tom_Johnson_(composer);http://en.wikipedia.org/wiki/Tom_L._Johnson;http://isni.org/isni/0000000110852942;http://data.doremus.org/artist/b7f94717-8fbd-354b-be36-9b3fc9e99ae1
0000000374853279;http://en.wikipedia.org/wiki/Philip_Lane_(composer);http://en.wikipedia.org/wiki/Philip_R._Lane;http://isni.org/isni/0000000374853279;http://data.doremus.org/artist/fedad4b7-2ae0-34cf-84a2-3e8a55bfb491
0000000055429577;http://en.wikipedia.org/wiki/Robert_Aldridge_(composer);http://en.wikipedia.org/wiki/Robert_Aldridge;http://isni.org/isni/0000000055429577;http://data.doremus.org/artist/f212729f-f213-370d-b8a6-88c5449d7dba
0000000081309130;http://en.wikipedia.org/wiki/Pierre_Robert_(composer);http://en.wikipedia.org/wiki/Pierre_Robert;http://isni.org/isni/0000000081309130;http://data.doremus.org/artist/7fd42d82-a06b-3516-8ae0-359761d4604e
0000000063088581;http://en.wikipedia.org/wiki/Robert_White_(composer);http://en.wikipedia.org/wiki/Robert_J._White;http://isni.org/isni/0000000063088581;http://data.doremus.org/artist/10ad5cdc-7d29-30b4-9699-0826bf8d9bd4
0000000110978342;http://en.wikipedia.org/wiki/John_Mackey_(composer);http://en.wikipedia.org/wiki/John_C._Mackey;http://isni.org/isni/0000000110978342;http://data.doremus.org/artist/763774d0-d433-326a-b69e-3cbea2cd2ab4
0000000061487669;http://en.wikipedia.org/wiki/Heinrich_von_Laufenberg;http://en.wikipedia.org/wiki/Heinrich_Laufenberg;http://isni.org/isni/0000000061487669;http://data.doremus.org/artist/7fd635ce-5a5f-36e4-9ebc-547669bb3696
0000000080796045;http://en.wikipedia.org/wiki/Mathias_van_den_Gheyn;http://en.wikipedia.org/wiki/Mathias_van_den_Gheyn;http://isni.org/isni/0000000080796045;http://data.doremus.org/artist/8439f358-896d-36b7-a7a6-3d1ac53b037c
0000000118501354;http://en.wikipedia.org/wiki/Leó_Weiner;http://en.wikipedia.org/wiki/Leo_Weiner;http://isni.org/isni/0000000118501354;http://data.doremus.org/artist/b3598c99-0035-31d0-9584-1eb3ad6247b3
0000000110855000;http://en.wikipedia.org/wiki/Vladimir_Martynov;http://en.wikipedia.org/wiki/Vladimir_Ivanovich_Larin;http://isni.org/isni/0000000110855000;http://data.doremus.org/artist/77c26524-703c-39f6-a21a-00681821232c
