prefLabel@fr,Décision\nNe pas convertir,Exact match IAML,Contexte d'utilisation (à mettre en scopenote)\nNe plus mentionner dans le référentiel. A considérer comme note de travail. Ne pas convertir,Contexte (collection skos),altLabel@fr,prefLabel@en,altLabel@en,prefLabel@it,altLabel@it,description@fr,skos:scopeNote@fr,Définition UNIMARC (ne pas convertir),Commentaires (ne pas convertir),mapping RF  (ne pas convertir),mapping BnF  (ne pas convertir),mapping PP (codes fonction issus d'Aloès)  (ne pas convertir),Notes de travail (à ne pas convertir)
        > auteur de l'avant-propos,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n12/06/18 : ajout de F30 Publication Event dans colonne D et de la collection ""publication""\n14/06/18 : modification F30 => F24 colonne D (MV)",,F28 Expression Creation (lié à F22 Self-Contained Expression)\nF24 Publication Expression,creative_work\npublication,,author of foreword,,autore dell'antefatto,,Auteur d'une œuvre textuelle utilisée comme avant-propos lors de la publication d'une autre œuvre.,A associer à l'œuvre textuelle incorporée dans la publication (F24 Publication Expression),,créateur d'une œuvre (augmentation) incorporée dans la F24,,,,
       > auteur de l'introduction,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n12/06/18 : ajout de F30 Publication Event dans colonne D et de la collection ""publication""\n14/06/18 : modification F30 => F24 colonne D (MV)",,F28 Expression Creation (lié à F22 Self-Contained Expression)\nF24 Publication Expression,creative_work\npublication,,author of introduction,,autore dell'introduzione,,Auteur d'une œuvre textuelle utilisée comme introduction lors de la publication d'une autre œuvre.,A associer à l'œuvre textuelle incorporée dans la publication (F24 Publication Expression),,créateur d'une œuvre (augmentation) incorporée dans la F24,,,,
        > auteur de la postface,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n12/06/18 : ajout de F30 Publication Event dans colonne D et de la collection ""publication""\n14/06/18 : modification F30 => F24 colonne D (MV)",,F28 Expression Creation (lié à F22 Self-Contained Expression )\nF24 Publication Expression,creative_work\npublication,postfacier,author of afterword,,autore della postfazione,,Auteur d'une œuvre textuelle utilisée comme postface lors de la publication d'une autre œuvre.,A associer à l'œuvre textuelle incorporée dans la publication (F24 Publication Expression).,,créateur d'une œuvre (augmentation) incorporée dans la F24,,,,
        > auteur de la préface,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n12/06/18 : ajout de F24 Publication Expression dans colonne D et de la collection ""publication""\n14/06/18 : modification F30 => F24 colonne D (MV)",,F28 Expression Creation (lié à F22 Self-Contained Expression )\nF24 Publication Expression,creative_work\npublication,préfacier,author of preface,,autore della prefazione,,Auteur d'une œuvre textuelle utilisée comme préface lors de la publication d'une autre œuvre.,A associer à l'œuvre textuelle incorporée dans la publication (F24 Publication Expression).,,créateur d'une œuvre (augmentation) incorporée dans la F24,,,,
        > auteur des notes,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n12/06/18 : ajout de F30 Publication Event dans colonne D et de la collection ""publication""\n14/06/18 : modification F30 => F24 colonne D (MV)",,F28 Expression Creation (lié à F22 Self-Contained Expression )\nF24 Publication Expression,creative_work\npublication,annotateur,auhor of annotations,,autore delle annotazioni,,Auteur d'une œuvre textuelle utilisée comme apparat critique lors de la publication d'une autre œuvre.,A associer à l'œuvre textuelle incorporée dans la publication (F24 Publication Expression).,,créateur d'une œuvre (augmentation) incorporée dans la F24,,,,
       > librettiste,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,F28 Expression Creation (lié à F22 Self-Contained Expression ),creative_work\nmusical_work,,librettist,,librettista,,"Auteur des paroles d’un opéra, d’un oratorio, ou d’une autre œuvre lyrique, à l'exception de la comédie musicale.",A associer à l'œuvre textuelle incorporée dans l'œuvre musicale.,,"oui, mais de l'œuvre textuelle incorporée dans l'œuvre musicale",,,,
        > parolier,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,F28 Expression Creation (lié à F22 Self-Contained Expression ),creative_work\nmusical_work,auteur parolier\nauteur des lyrics\nlyriciste ,lyricist,,paroliere,,Auteur des paroles d’une chanson ou d’une comédie musicale.,A associer à l'œuvre textuelle incorporée dans l'œuvre musicale.,,"oui, mais de l'œuvre textuelle incorporée dans l'œuvre musicale",,,,
        > scénariste,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,F28 Expression Creation (lié à F22 Self-Contained Expression ),creative_work,,screenwriter,,sceneggiatore,,"Auteur d’un scénario, d’un script ou d’une scène d'une œuvre cinématographique.",A associer à l'œuvre textuelle incorporée dans le Performance Plan (F25).,,"oui, mais de l'œuvre textuelle (F22)  incorporée dans le F25 Performance Plan de la F31 Performance",,,,
bruiteur,18/10/2017 : ok\n28/02/2018 : ajout du contexte casting,,M28 Individual Performance,performance\ncasting,,sound-effects engineer,foley artist ,rumorista,,"Agent chargé d'imiter, par divers procédés, les bruits de la vie quotidienne, souvent pour accompagner une émission ou un spectacle.\n(Centre National de Ressources Textuelles et Lexicales CNRTL, modifié)\n\n",,,," il est créateur d'une partie de l'œuvre (BnF . S'il est créateur d'une partie de l'oeuvre, il est considéré comme compositeur, et s'il est interprète, il utilise un objet considére comme medium of performance pour produire un son",,,
chargé de réalisation,18/10/2017 : à suprimer\n30/10/2017 : à garder (pour les oeuvres émissions de radio uniquement)\n09/11/2017 :(réunion) : Changer le contexte --> F29\n14/06/2018 : il est décidé de ne pas traduire ce terme,,"F29 Recording Event \nM29 Editing \nF28 Expression Creation (lié à F22 Self-Contained Expression de type ""émission radiophonique"")",creative_work\nrecording\nediting\n,,,,,,"Agent responsable de la forme artistique d'une émission de radio (script de l'enregistrement, montage, choix des séquences, choix des éléments sonores, supervision du mixage, choix des prises et coordination entre les différents intervenants à l'enregistrement et à la diffusion dans le cas des concerts).\n(Radio France, modifié)",,,,,,,Radio France / Ne peut être en altLabel du réalisateur.
direction d'ensemble,28/02/2018 : création de la fonction ,,M28 Individual Performance,performance,,conductor,,direttore,,"Agent qui dirige un ensemble instrumental et / ou vocal.  S'applique à tous les types d'ensemble, quelle que soit leur taille ou leur composition (instruments, voix, etc.) ",,,,,,,
   > chef d'orchestre,18/10/2017 : ok,,M28 Individual Performance,performance,,chief conductor,music director,direttore d'orchestra,,"Agent qui dirige un ensemble instrumental exécutant une œuvre musicale.\n(UNIMARC, modifié)",,,,,,,
   > chef de choeur,18/10/2017 : ok\n16/02/2018 : correction de l'intitulé (mauvaise manip dans le tableau) - MV - CC,,M28 Individual Performance,performance,directeur de chorale,choral director ,choirmaster\nchorus master,direttore di coro,maestro del coro,"Agent qui dirige tous les chanteurs qui constituent un choeur.\n(UNIMARC, modifié)",,,,,,,
      > > chef de maîtrise ,18/10/2017 : ok,,M28 Individual Performance,performance,,,director of choir school,,,Agent qui dirige des chanteurs faisant partie d'une maîtrise (école où l'on forme des enfants au chant). ,,,,,,,"MV : Maîtrise : École où l'on forme les enfants au chant ; chorale, attachée à cette école ; ensemble des chantres d'une église. (Larousse en ligne)\n"
chef du dispositif électronique en direct,"09/11/2017 : à intégrer (IAML)\n29/11/2017 : revoir l'intitulé en français?\n22/12/2017 : forme anglaise IAML et proposition de définition (FL et FP) \n16/02/2018 : suppression d'un altlabel (informaitque musicale, à revoir pour la Philha) - VM-CC",,M28 Individual Performance,performance,,live electronic conductor,,direttore di live electronic,,"Agent qui dirige une représentation musicale utilisant des sons ou des instruments électroniques joués en direct, généralement en situation de concert, par opposition à la musique électronique enregistrée.\n(Wikipédia, modifié) ",,,,,,Informatique musicale à mapper vers un M14 Medium of Performance,
chorégraphe,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n16/02/2018 : modif def (VM - CC)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre chorégraphique"")",creative_work,,choreographer ,,coreografo,,"Agent responsable de la création d'une oeuvre chorégraphique ou de mouvement (RDA, modifié).",A associer à l'œuvre chorégraphique incorporée dans le Performance Plan (F25).,,"oui, mais de l'œuvre chorégraphique (F22) incorporée dans le F25 Performance Plan de la F31 Performance",,,,Personne qui règle les pas et les figures des danses destinées à la scène (Le Petit Robert modifié)
collecteur,09/11/2017 : on ajoute F28 (cf. CR de réunion) et on enlève F24,,F29 Recording Event\nF28 Expression Creation (lié à F22 Self-Contained Expression),recording\nmusical_work\ncreative_work,,collector of field material ,,,,"Agent collectant sur le terrain des éléments du patrimoine musical, oral ou naturel d'un territoire géographique, d'une population ou d'une espèce donnée, par transcription ou par enregistrement sonore ou audiovisuel. (UNIMARC, modifié)",,,,,,,
commanditaire,18/10/2017 : ok\n09/11/2017 : ok,,F28 Expression Creation (lié à F22 Self-Contained Expression),musical_work\ncreative_work\npublication,parraineur,sponsor,,sponsor,finanziatore,Agent qui commande et/ou finance la création ou la publication d’une œuvre ou d’un ensemble d'œuvres dont elle détermine l’objectif et parfois le contenu.,,,OK / Fonctions associées à la création (RDA),,,,
compilateur,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,F28 Expression Creation (lié à F22 Self-Contained Expression),musical_work\ncreative_work\npublication,,compiler,,complilatore,,"Agent responsable de la création d’une nouvelle œuvre par la sélection, l'organisation, le regroupement ou l'édition d'œuvres ou de parties d'œuvres existantes (RDA, modifié)",A associer à l'œuvre agrégative (F17).,,oui de l'œuvre agrégative (F17 Aggregation Work),,,,
concepteur des coups d'archet,09/11/2017 : ok (ajout de F24)\n22/12/2017 : ajout de la traduction anglaise (FL et FP,,F28 Expression Creation (lié à F25 Performance Plan)\nF30 Publication Event (lié à F24 Publication Expression),performance_plan\npublication,,editor of the bowing marks,,annotatore delle arcate,,"Agent qui indique, dans le jeu des instruments à cordes frottées, les différentes manières de mouvoir l'archet sur la corde, à l'endroit correct, dans la direction et à la vitesse prescrites, et avec la pression nécessaire.  \n(d'après Larousse « Dictionnaire de la musique »)",,,BnF : créateur du F25 Performance Plan,,,,
concepteur des doigtés,09/11/2017 : ok (ajout de F24),,F28 Expression Creation (lié à F25 Performance Plan)\nF30 Publication Event (lié à F24 Publication Expression),performance_plan\npublication,,editor of fingerings,,annotatore della diteggiatura,,"Agent qui indique par des annotations chiffrées sur la partition, une manière de placer les doigts sur l'instrument. (Larousse, modifié)",,,BnF : créateur du F25 Performance Plan,,,,
concepteur des indications pédales,09/11/2017 : ok (ajout de F24)\n,,F28 Expression Creation (lié à F25 Performance Plan)\nF30 Publication Event (lié à F24 Publication Expression),performance_plan\npublication,,editor of pedal markings,,annotatore delle indicazioni di pedale,,"Agent qui indique par des annotations sur la partition, quand utiliser les pédales du piano dans l'exécution d'une oeuvre.",,,BnF : créateur du F25 Performance Plan,,,,
conseiller artistique,"09/11/2017 : ok\n16/02/2018 : rédaction de la définition (MV, CC)",,F28 Expression Creation (lié à F25 Performance Plan),performance_plan\nrecording,,artistic adviser,,consulente artistico,,"Agent qui apporte ses conseils pour la réalisation d'une oeuvre (spectacle, enregistrement, etc.)",,,,,,,
conseiller littéraire,09/11/2017 : ok\n16/02/2018 : modif du contexte d'utilisation (remplacement de F25 par F22)\n07/05/2018 : modification du contexte d'utilisation : F28 (lié à une F22) (FL et FP)   ,,F28 Expression Creation (lié à F22 Self-Contained Expression) ,creative_work,,literary advisor,,consulente letterario,,"Agent qui aide l'auteur à trouver des pistes de travail à la lumière des défauts et des qualités de son oeuvre, en vue de son édition.",,,,,,,
conteur,18/10/2017 : ok\n22/12/2017 : définition modifiée (FL et FP)\n16/02/2018 : modification de la définition et ajout d'une scopenote (MV-CC)\n28/02/2018 : ajout du contexte casting et modification de la scopenote. ,,M28 Individual Performance,performance\ncasting,,storyteller,,cantastorie,,"Agent qui dit, récite des contes devant un public (Dictionnaire de l'Académie française, modifié)\n","Le créateur d'un conte doit être mentionné comme ""auteur du texte"" d'une oeuvre textuelle. Dans la distribution, la mention de conteur est un raccourci pour l'exécution d'une oeuvre textuelle (conte) incorporée à une oeuvre musicale.  ",,,,,,Personne racontant l'histoire originale d'un créateur dans le cadre d'un spectacle (RDA modifié)
continuateur,"18/10/2017 : ok (n'est pas un spécifique de compositeur (peut êre utilisé pour les oeuvres textuelles), seulement de créateur \n09/11/2017 : uniquement F28 en contexte""\n22/12/2017 : ajout de la traduction anglaise (FL et FP\n16/02/2018 : modification de la définition (MV - CC)\n07/05/2018 : déplacement en scope note de la seconde phrase de la définition et modification rédactionnelle de celle-ci. Proposition d'une traduction anglaise.",,F28 Expression Creation (lié à F22 Self-Contained Expression)\n,creative_work\nmusical_work,,continuator,,continuatore,,Agent qui donne une suite à l'œuvre d'un autre créateur. ,Le type d'œuvre résultant de la F28 (Expression creation) effectuée par le continuateur  indique la nature de la continuation.,,,,,,
contributeur,"18/10/2017 : à rediscuter+ \n09/11/2017 : ok (+ ajout scopenote)\n16/02/2018 : modification de la définition (MV - CC)\n05/06/2018 : supression des collections recording, editing et publication\n (MV)",,F28 Expression Creation (lié à F22 ou F25)  \nF31 Performance\nM42 Performed Expression Creation\n,creative_work\nmusical_work\nperformance\nperformance_plan\n,,contributor,,contributore,,Agent qui a réalisé des contributions significatives mais secondaires au contenu intellectuel ou artistique d'une oeuvre ou de sa réalisation.,A n'utiliser que lorsque l'on ne dispose pas d'une fonction plus précise.,,,,,,
costumier,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type ""costume"")",creative_work,créateur des costumes,costume designer,,costumista,,"Agent qui fait, vend ou loue des costumes de scène, qui s'occupe des costumes d'une représentation.\n(Petit Robert 1, modifié)",,,,,,,"Personne, famille ou collectivité contribuant à une expression d'une oeuvre en créant les costumes pour une production d'images animées ou bien pour une représentation ou un spectacle musical ou dramatique (RDA)"
créateur,09/11/217: ok,,F28 Expression Creation  (lié à F22 Self-Contained Expression ou F25 Performance Plan)  \nF30 Publication Event (lié à F24 Publication Expression)\n,creative_work\nmusical_work\npublication\n,,creator,,creatore,,Agent qui exerce une responsabilité principale dans la création du contenu intellectuel ou artistique d’une œuvre.,,,,,,,
danseur,18/10/2017 : ok\n28/02/2018 : ajout de casting dans le contexte et ajout de la scopenote,,M28 Individual Performance\nM6 Casting,performance\ncasting,,dancer,,ballerino,,"Agent qui déploie essentiellement des compétences relevant de l'art chorégraphique au cours d'une représentation ou autre manifestation musicale ou théâtrale. (UNIMARC, modifié)","Si elle est incorporée au casting d'une oeuvre musicale, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à l'oeuvre musicale",,,,,,
décorateur,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n22/12/2017 : définition légèrement modifiée (élargie)\n16/02/2018 : modification de la traduction (MV - CC --> dictionnaire bilingue du spectacle)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""décor"")",creative_work,Ensemblier,set designer,,decoratore,,"Agent responsable de la conception de l'aspect visuel global d'un spectacle ou d'une production d'images animées (RDA, modifié)",,,,,,,
dessinateur,"18/10/2017 : ok\n09/11/2017 : F28 et M28\n28/12/2017 : ajout d'une autre proposition de définition, plus fonctionnelle et qui nous semble donc mieux adaptée. \n16/02/2018 : simplification de la définition (MV - CC)",,"F28 Expression Creation (lié à F22 Self-Contained Expression de type ""oeuvre graphique"")\nM28 Individual Performance (en cas d'improvisation)",creative_work\nperformance,,drawer,,disegnatore,,"Agent qui conçoit un dessin original \n(Unimarc, modifié)",,,"Peut être utilisé en performance si une oeuvre est créée sur scène, lors de la représentation",,,,"Anciennes défintions : Personne qui possède une compétence particulière dans l'art du dessin ou qui pratique habituellement cet art (d'après Le petit Robert 2012)
\nPersonne responsabme de la création d'un (ou plusieurs) dessin(s. Le dessin résultant du travail d'un dessinateur peut être artistique, documentaire, technique, ou une base de travail pour d'autres professionnels. (Wikipédia modifié) "
destinataire,"18/10/2017 : ok\n16/02/2018 : modification de la définition (MV - CC)\n07/05/2018 : ajout de ""famille ou collectivité"" dans la définiton (FL et FP)",,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work\nmusical_work,,addressee,,destinatario,,"Agent à qui une oeuvre ou une partie d'oeuvre est adressée \n(RDA, modifié)",,,,,,,Personne pour laquelle une oeuvre a été créée
directeur artistique,"30/10/2017 : ok\n16/02/2018 : suppression du altlabel, modifications des traduction anglaise et définition (MV- CC)\n07/05/2018 : la définition de RDA nous semble trop limitée et strictement anglo-américaine. Nous proposons de retenir une définition plus vaste d'après Wikipédia, ou de revenir à la définition d'UNIMARC. (FL et FP) \n05/06/18 : tout le monde OK. Supression de la définition de RDA (MV)",,F28 Expression Creation (lié à F25 Performance Plan),performance_plan,,art director,,direttore artistico,,"Agent responsable de l'aspect visuel et artistique d'un projet multimédia, d'une production audiovisuelle ou d'une création contemporaine (Wikipédia, modifié).   ",,,,,,,"Personne qui a sous sa responsabilité tous les aspects visuels d'une mise en scène (éclairages, décors, costumes, etc). UNIMARC"
directeur artistique (son),30/10/2017 : ok\n16/02/2018 : modification de la définition (MV - CC)\n27/02/18 : ajout de performance (MV),,F29 Recording Event\nM29 Editing Event,recording\nediting\nperformance,réalisateur artistique (son)\n,producer (sound),,produttore discografico,,"Agent dont le rôle consiste à contrôler les sessions d'enregistrement, à accompagner et guider les artistes dans leur interprétation et à superviser les enregistrements, le mixage audio et le mastering.\nIl est souvent confondu, à cause de l'anglicisme ""record producer"" avec le producteur de musique, qui est chargé de la partie économique et marketing dans l'industrie musicale \n(wikipedia, modifié).",,,"à qualifier ; pour les enregistrements sonores, intervervient au niveau du recording et de l'éditing\n",,,,
disc jockey,18/10/2017 : ok (à utiliser aussi bien pour un créateur qu'un interprète)\n09/11/2017 : ok\n28/02/2018 : ajout casting dans contexte,,"F28 Expression Creation (liée à F22 Self-Contained Expression de type ""Musique"")\nM28 Individual Performance",musical_work\nperformance\ncasting,DJ,disc jockey ,DJ,,,"Agent qui produit une œuvre originale en sélectionnant, diffusant et mixant des matériaux musicaux enregistrés. (Wikipédia, modifié) ",,Fonction utilisée aussi bien en F28 qu'en F31,,,,"Personne qui produit une œuvre originale à partir de matériaux \nmusicaux existants. Le juste mélange des musiques diffusées, leur arrangement en live demandent une créativité certaine, et peut donc être considéré comme un art, qui diffère un peu de celui des musiciens. (Wikipedia modifié)\n\nOK",
éclairagiste,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""\n16/02/2018 : ajout d'une traduction anglaise et modification de la définition\n",,"F28 Expression Creation (liée à F22 Self-Contained Expression de type ""éclairage"")",creative_work,,lighting designer,,progettista dell'illuminazione,,Agent qui crée une atmosphère lumineuse pour un spectacle. ,,,,,,,
illustrateur,13/06/2018  :création,,F24 Publication Expression,publication,,illustrator,,,,"Agent spécialisé dans l’illustration, c’est-à-dire la représentation graphique (dessin, figure, image, photographie) généralement exécutée pour accompagner un texte afin de le rendre plus compréhensible, plus attrayant et de compléter l’information qu’il apporte. (CNRTL, modifié)",,,,,,,
imitateur,30/10/2017 : ok (à revoir)\n16/02/2018 : modification de la définition (MV - CC)\n28/02/2018 : ajout casting dans contexte,,M28 Individual Performance,performance\ncasting,,imitator,,imitatore,,"Agent qui imite le comportement, les \ngestes, les paroles d'autrui dans le cadre d'un spectacle. \n(Centre National de Ressources Textuelles \net Lexicales CNRTL, modifié) ",,,,,,,
interprète,18/10/2017 : ok\n10/11/2017 (CC) : remplacer interprète par exécutant ?,,M28 Individual Performance,performance\n,,performer,,interprete,,"Agent contribuant à une interprétation d'une oeuvre en exécutant de la musique, en jouant, en dansant, en parlant, etc. souvent dans une représentation musicale ou dramatique, etc. (RDA, modifié) ",Ne pas utilser dans la distribution : préférer une fonction ou un M14 Medium of Performance plus spécifique. ,,A n'utiliser que si le M14 Medium of Performance (ou une fonction plus précise comme chanteur) est inconnu,,,,
jongleur,09/11/2017 : à intégrer (IAML)\n16/02/2018 : définition modifiée (MV - CC)\n28/02/2018 : ajout casting dans contexte,,M28 Individual Performance,performance\ncasting,,juggler,,giocoliere,,"Agent qui lance en l'air divers objets qu'il reçoit et relance alternativement en entrecroisant leur trajectoire. \n(Le Petit Robert, modifié)",,,,,,,
metteur en scène,"18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,"F28 Expression Creation (liée à F22 Self-Contained Expression de type ""mise en scène"")",creative_work,,stage director,,regista teatrale\n,,"Agent qui dirige la mise en scène d’une œuvre dramatique (théâtre, opéra).\n(Z 44-065 Catalogage des vidéogrammes, septembre 1998)\n\n",,"UNIMARC : Personne responsable de la direction générale de l’œuvre ou qui a supervisé la production de\nl’exécution de l’œuvre sur scène, à l’écran, ou sous forme d’enregistrement sonore.\nEMPLOYÉ POUR : Metteur en scène\n Réalisateur ",,,,,
mime,09/11/2017 : à intégrer (IAML)\n16/02/2018 : modification de la définition et de la traduction anglaise (MV - CC)\n28/02/2018 : ajout casting dans contexte,,M28 Individual Performance,performance\ncasting,,mime,,mimo,,"Agent qui s'exprime par le geste, la danse, la mimique, sans recourir à la parole. ", ,,,,,,
monteur (images animées),10/11/17 : OK\n16/02/2018 : modification de la traduction anglaise,,M29 Editing,editing,,film editor,,montatore,,"Agent responsable de l’assemblage, de l’organisation et du découpage de films, de vidéos ou d’autres formats d’images animées, aspects visuels et sonores compris. (RDA, modifié) ",,,,,,,editor (moving image work
monteur (son),ajout par MV le 08/02/18\n16/02/2018 : modification de la traduction anglaise,,M29 Editing,editing,,sound editor,,montatore audio,,Agent responsable de l'organisation d'éléments sonores.,,,,,,,
musicien (créateur) ,29/11/2017 : ok\n28/02/2018 : ajout de performance dans le contexte,,"F28 Expression Creation (lié à une F22 Self-Contained Expression de type"" Musique"")\nM28 Individual Performance",musical_work\nperformance,,musician (creator),,musicista (autore),,Agent qui compose ou arrange une oeuvre musicale.,,,,,,,
